统计日期,Channel,campaign_name,source,业务线,地区,平台,设备,sessions,访客,registrations,dau,order_count,sales,spend,cvr,Retention Rate,Owner,备注,目标转化率,退款订单数,客单价,新客数,老客数
2026-05-01,App,五一拉新-A,app_push,会员增长,华东,自有App,iOS,"12,450",11890,860,5320,312,"¥89,240.50","¥12,800.00",2.51%,41.2%,张宁,节假日活动,2.40%,12,286.03,210,102
2026/05/01,Web,五一拉新-A,seo,会员增长,华东,官网,Desktop,"8,920",8010,420,3910,145,"43,500","6,500",1.63%,38%,张宁,,1.80%,6,300.00,92,53
05/01/2026,Mini Program,五一拉新-A,wechat,会员增长,华南,小程序,Mobile,"15,300",14200,1032,6100,388,"102,330.80","18,450.20",2.54%,44.5%,李想,微信侧流量高,2.50%,18,263.74,271,117
2026-05-02,App,五一拉新-A,app_push,会员增长,华东,自有App,Android,"13,280",12610,910,5488,335,"93,210.00","13,950.00",2.52%,42.0%,张宁,,2.40%,9,278.24,229,106
2026-05-02,Web,五一拉新-A,paid_search,会员增长,华北,官网,Desktop,"7,880",7110,365,3440,121,"36,120.00","8,900.50",1.54%,36.8%,王璐,搜索预算偏高,1.70%,4,298.51,73,48
2026-05-02,Mini Program,五一拉新-A,wechat,会员增长,华南,小程序,Mobile,"16,020",14980,1088,6450,402,"109,884.20","19,120",2.51%,45.1%,李想,,2.50%,15,273.34,286,116
2026-05-03,App,直播间转化-B,app_push,电商运营,华东,自有App,iOS,"10,640",10020,540,4890,501,"158,220.30","10,500.00",4.71%,39.5%,陈晨,直播带货,4.50%,31,315.81,188,313
2026/05/03,Web,直播间转化-B,affiliate,电商运营,华东,官网,Desktop,"6,350",5880,210,2510,198,"61,340.00","4,200.00",3.12%,35.4%,陈晨,,3.20%,10,309.80,67,131
2026-05-03,Mini Program,直播间转化-B,wechat,电商运营,华南,小程序,Mobile,"11,700",10940,610,5210,458,"141,020","7,980",3.91%,40.2%,李想,小程序转化提升,3.80%,22,307.90,163,295
2026-05-04,App,会员召回-C,app_push,会员增长,华东,自有App,iOS,"9,880",9340,322,5012,276,"78,910.00","5,820.00",2.79%,48.0%,张宁,召回老客为主,2.70%,8,285.91,42,234
2026-05-04,Web,会员召回-C,email,会员增长,华北,官网,Desktop,"4,560",4310,155,2080,102,"29,100.00","980.00",2.24%,52.2%,王璐,邮件成本低,2.10%,3,285.29,18,84
2026-05-04,Mini Program,会员召回-C,wechat,会员增长,华南,小程序,Mobile,"8,430",7920,284,3880,230,"67,850.50","3,450.00",2.73%,47.6%,李想,,2.70%,7,295.00,31,199
2026-05-05,App,新人礼包-D,paid_social,会员增长,华东,自有App,Android,"14,210",13200,1180,5900,350,"92,750","21,800",2.46%,33.8%,张宁,投放量大,2.30%,16,265.00,302,48
2026/05/05,Web,新人礼包-D,paid_search,会员增长,华北,官网,Desktop,"9,310",8610,690,3720,188,"51,512.00","15,300.00",2.02%,31.4%,王璐,,2.00%,5,273.99,141,47
2026-05-05,Mini Program,新人礼包-D,wechat,会员增长,华南,小程序,Mobile,"17,900",16820,1490,6880,430,"116,530.00","24,900.00",2.40%,34.6%,李想,新客占比高,2.30%,20,270.98,355,75
2026-05-06,App,自然流量监控,organic,经营分析,华东,自有App,iOS,"7,450",7020,210,4100,198,"57,420.00","0",2.66%,46.0%,陈晨,自然流量,2.40%,6,290.00,51,147
2026-05-06,Web,自然流量监控,seo,经营分析,华北,官网,Desktop,"12,880",11900,398,5220,260,"75,620.00","0.00",2.02%,43.1%,王璐,SEO,2.00%,9,290.85,79,181
2026-05-06,Mini Program,自然流量监控,wechat,经营分析,华南,小程序,Mobile,"6,230",5920,180,2890,141,"40,310.00","0",2.26%,44.0%,李想,,2.20%,4,285.89,38,103
2026-05-07,App,618预热-E,paid_social,电商运营,华东,自有App,Android,"18,500",17120,1320,7600,620,"201,120.80","32,200.00",3.35%,39.9%,张宁,大促预热,3.10%,35,324.39,301,319
2026-05-07,Web,618预热-E,paid_search,电商运营,华北,官网,Desktop,"10,240",9700,640,4160,292,"92,640.00","19,500.00",2.85%,37.2%,王璐,,2.70%,11,317.26,132,160
2026/05/07,Mini Program,618预热-E,wechat,电商运营,华南,小程序,Mobile,"19,860",18450,1448,8120,690,"225,870.00","35,100.00",3.47%,41.5%,李想,微信裂变,3.20%,38,327.35,340,350
2026-05-08,App,渠道AB测试-F,app_push,增长实验,华东,自有App,iOS,"5,980",5620,260,3010,154,"42,350.00","3,200.00",2.58%,40.0%,陈晨,A组,2.50%,5,275.00,64,90
2026-05-08,App,渠道AB测试-F,app_push,增长实验,华东,自有App,Android,"6,120",5790,288,3090,166,"46,480.00","3,350.00",2.71%,40.8%,陈晨,B组,2.50%,4,280.00,71,95
2026-05-08,Web,渠道AB测试-F,affiliate,增长实验,华北,官网,Desktop,"4,980",4610,175,2100,118,"34,220.00","2,700.00",2.37%,36.2%,王璐,外部联盟,2.30%,3,290.00,38,80
2026-05-09,Mini Program,异常值测试-G,wechat,经营分析,华南,小程序,Mobile,"22,500",21000,1700,9000,760,"260,000.00","42,000.00",3.38%,43.2%,李想,正常高峰,3.20%,45,342.11,390,370
2026-05-09,Web,异常值测试-G,paid_search,经营分析,华北,官网,Desktop,"1,050",980,22,430,15,"4,200.00","9,800.00",1.43%,28.0%,王璐,成本高收入低,2.00%,1,280.00,5,10
2026-05-10,App,缺失值测试-H,app_push,会员增长,华东,自有App,iOS,"",6200,,3500,190,"54,150.00","4,800.00",,39.0%,张宁,访问量和注册缺失,2.40%,7,285.00,,
2026-05-10,Web,缺失值测试-H,seo,会员增长,华北,官网,Desktop,"7,600",7200,310,3300,205,"59,450.00",,2.70%,,王璐,成本和留存缺失,2.30%,8,290.00,66,139
2026-05-10,Mini Program,缺失值测试-H,wechat,会员增长,华南,小程序,Mobile,"13,400",12650,840,5900,360,"101,880.00","12,600.00",2.69%,42.8%,,负责人缺失,2.50%,14,283.00,220,140
